id,store_id,year_recorded,unit,civic_number,street_name,name,category,latitude,longitude
121,2378,2020,N/A,672,GRANVILLE ST,Mego,Comparison Goods,49.28312404797613,-123.11657971526182
122,2379,2020,N/A,674,GRANVILLE ST,Topshop,Comparison Goods,49.28253253952624,-123.11699539053087
123,2382,2020,R110,725,GRANVILLE ST,AllSaints,Comparison Goods,49.28224355654455,-123.11950088594357
124,2387,2020,R128,725,GRANVILLE ST,Microsoft Canada Inc,Comparison Goods,49.28224355654455,-123.11950088594357
125,2388,2020,R130,725,GRANVILLE ST,Disney Store Canada #788,Comparison Goods,49.28224355654455,-123.11950088594357
126,2392,2020,N/A,728,GRANVILLE ST,Tom Lee Music Co Ltd,Comparison Goods,49.28182378500203,-123.11771301621158
127,2394,2020,N/A,738,GRANVILLE ST,Trees Cheesecake,Convenience Goods,49.28184606128068,-123.1185132214996
128,2395,2020,N/A,742,GRANVILLE ST,O Sushi,Food & Beverage,49.28184606128068,-123.1185132214996
129,2397,2020,N/A,756,GRANVILLE ST,Sleep Country Canada Inc,Comparison Goods,49.28151188603057,-123.11901808141587
130,2398,2020,N/A,762,GRANVILLE ST,Claire's Boutique,Comparison Goods,49.28151188603057,-123.11901808141587
131,2399,2020,N/A,766,GRANVILLE ST,The Helly Hansen Store,Comparison Goods,49.28151188603057,-123.11901808141587
132,2402,2020,N/A,796,GRANVILLE ST,Cafe Crepe,Food & Beverage,49.28151188603057,-123.11901808141587
133,2403,2020,N/A,798,GRANVILLE ST,Best Buy,Comparison Goods,49.28151188603057,-123.11901808141587
134,2409,2020,N/A,829,GRANVILLE ST,Taf's Cafe,Food & Beverage,49.281226495734586,-123.12062831986367
135,2412,2020,N/A,833,GRANVILLE ST,Vacant,Vacant,49.281177817898296,-123.12070194523105
136,2418,2020,N/A,855,GRANVILLE ST,Vacant UC,Vacant UC,49.28091005558472,-123.12110696595094
137,2426,2020,N/A,898,GRANVILLE ST,Dr. Vape Smoke & Bongs,Convenience Goods,49.28020766702466,-123.12098925058666
138,2427,2020,N/A,900,GRANVILLE ST,Dublin Calling,Food & Beverage,49.279980625649976,-123.12133012425576
139,2428,2020,N/A,901,GRANVILLE ST,Cinema Public House,Food & Beverage,49.28036767774088,-123.12192807714487
140,2431,2020,N/A,911,GRANVILLE ST,Cavo Bar & Kitchen,Food & Beverage,49.28031897389923,-123.12200168614316
141,2433,2020,N/A,921,GRANVILLE ST,Speakeasy on Granville,Food & Beverage,49.28017285311342,-123.12222249574698
142,2439,2020,N/A,957,GRANVILLE ST,The Granville Room,Food & Beverage,49.279880611176175,-123.12266410279321
143,2445,2020,N/A,982,GRANVILLE ST,7-Eleven Canada Store #35667H,Convenience Goods,49.27920229771218,-123.12250837033133
144,2451,2020,N/A,998,GRANVILLE ST,Tim Horton's,Food & Beverage,49.27920229771218,-123.12250837033133
145,2457,2020,N/A,1011,GRANVILLE ST,Frites-Fries With Benefits,Food & Beverage,49.279216167380355,-123.12366525869692
146,2461,2020,N/A,1019,GRANVILLE ST,Crave India,Food & Beverage,49.279216167380355,-123.12366525869692
147,2463,2020,N/A,1028,GRANVILLE ST,A & W Restaurant,Food & Beverage,49.27870877295325,-123.12325484307857
148,2468,2020,N/A,1049,GRANVILLE ST,The Mexican,Food & Beverage,49.27887516690173,-123.12418052750475
149,2470,2020,N/A,1051,GRANVILLE ST,Planet Rock,Convenience Goods,49.27887516690173,-123.12418052750475
150,2472,2020,N/A,1062,GRANVILLE ST,Vacant,Vacant,49.27839223097704,-123.12373343815443
151,2474,2020,N/A,1075,GRANVILLE ST,King Royal Vape Shop,Convenience Goods,49.278652154660314,-123.12451744159561
152,2479,2020,N/A,1087,GRANVILLE ST,The Templeton,Food & Beverage,49.27853628692521,-123.12469250035392
