stop_id,stop_code,stop_name,zone_id,latitude,longitude,junction_id,junction_dst
10352,59761,Westbound E 2nd Ave @ Main St,BUS ZN,49.269283,-123.101217,3242,82.2064419842205
2705,52680,Northbound Joffre Ave @ Clinton St,BUS ZN,49.213088,-123.02068,6536,568.463166966547
2704,58962,Northbound Joffre Ave @ Carson St,BUS ZN,49.210668,-123.019815,6559,760.7567287072054
2707,52682,Eastbound Rumble St @ Greenall Ave,BUS ZN,49.214764,-123.017582,6536,872.1408830693675
2706,52681,Eastbound Rumble St @ Joffre Ave,BUS ZN,49.214742,-123.020308,6536,476.2724355077654
4884,54832,Southbound Howe St @ Nelson St,BUS ZN,49.279698,-123.124449,2350,79.72614623219746
10359,59754,Eastbound W 6th Ave @ Heather St,BUS ZN,49.265832,-123.120144,2516,56.70326799689294
2703,52678,Northbound Joffre Ave @ Maple Tree Lane,BUS ZN,49.209345,-123.019766,6559,587.9115298908719
12749,60517,Southbound Main St @ E Broadway,BUS ZN,49.26318,-123.101149,3227,67.43414794669438
12318,59889,Kootenay Loop @ Bay 1,BUS ZN,49.281403,-123.025625,6457,64.56848115243913
12744,60746,Westbound W 49 Ave @ Yew St,BUS ZN,49.227274,-123.159273,1026,72.59211807976965
832,50825,Northbound Fraser St @ E 52 Ave,BUS ZN,49.223033,-123.090707,3655,71.46402711668625
830,50823,Northbound Fraser St @ E 57 Ave,BUS ZN,49.218589,-123.090819,3643,77.36494842862291
831,50824,Northbound Fraser St @ E 54 Ave,BUS ZN,49.22126,-123.090756,3650,92.05947447058324
836,50829,Northbound Fraser St @ E 45 Ave,BUS ZN,49.229442,-123.090556,3665,60.3568806172456
837,50830,Northbound Fraser St @ E 43 Ave,BUS ZN,49.231265,-123.0905,3667,63.788773344582275
834,50827,Northbound Fraser St @ E 49 Ave,BUS ZN,49.225766,-123.090643,3659,68.74612521785363
839,50832,Northbound Fraser St @ E 39 Ave,BUS ZN,49.235102,-123.090364,3669,73.17554417387376
11623,61110,Southbound Slocan St @ Kingsway,BUS ZN,49.240272,-123.053886,5355,60.22824586382321
7023,56956,Southbound Viking Way @ Vulcan Way,BUS ZN,49.197093,-123.073397,4695,2361.192086026857
1728,51714,Southbound Rupert St @ E 22 Ave,BUS ZN,49.25033,-123.033942,6122,62.860234381722805
7022,56955,Eastbound Vulcan Way @ Viscount Way,BUS ZN,49.196014,-123.07839,4064,2647.979330990649
1726,51712,Southbound Rupert St @ E 18 Ave,BUS ZN,49.253698,-123.033945,6125,69.46032023197863
1727,51713,Southbound Rupert St @ E 20 Ave,BUS ZN,49.252011,-123.033936,6123,71.22415552351019
1724,51710,Southbound Rupert St @ Grandview Hwy,BUS ZN,49.257755,-123.033953,6131,91.21623076352525
1725,51711,Southbound Rupert St @ E 16 Ave,BUS ZN,49.255276,-123.03393,6128,68.26306301974762
1720,51706,Southbound Rupert St @ E 7th Ave,BUS ZN,49.263542,-123.033894,6136,64.8135540627414
1721,51707,Southbound Rupert St @ E Broadway,BUS ZN,49.262185,-123.03393,6134,71.92484398690856
1588,51576,Westbound W King Edward Ave @ Laurel St,BUS ZN,49.249302,-123.125107,2298,66.72389870782322
1589,51577,Westbound W King Edward Ave @ Oak St,BUS ZN,49.249375,-123.128078,2187,86.05648298064679
1582,51570,Westbound E King Edward Ave @ Prince Edward St,BUS ZN,49.248783,-123.097125,3414,17.76393914721253
1583,51571,Westbound E King Edward Ave @ Main St,BUS ZN,49.248868,-123.101632,3216,91.08419669484155
1580,51568,Westbound E King Edward Ave @ Fraser St,BUS ZN,49.248724,-123.090591,3685,68.03192603007925
1581,51569,Westbound E King Edward Ave @ St. George St,BUS ZN,49.248752,-123.094411,3543,55.72046785870221
1586,51574,King Edward Station @ Bay 1,BUS ZN,49.249121,-123.116003,2674,93.88668628814119
1587,51575,Westbound W King Edward Ave @ Heather St,BUS ZN,49.249205,-123.120844,2479,77.03234027890515
1584,51572,Westbound W King Edward Ave @ Ontario St,BUS ZN,49.248922,-123.105388,3025,62.83119571381318
1585,51573,Westbound W King Edward Ave @ Columbia St,BUS ZN,49.249023,-123.110516,2853,76.04017638765073
460,50456,Northbound Oak St @ W King Edward Ave,BUS ZN,49.249632,-123.127357,2187,93.75092553351843
214,50213,Northbound Granville St @ W 14 Ave,BUS ZN,49.25921,-123.138595,1711,70.00616280836721
215,50214,Northbound Granville St @ W 12 Ave,BUS ZN,49.261157,-123.13852,1714,88.87932524293788
212,50211,Northbound Granville St @ Matthews Ave,BUS ZN,49.253467,-123.138804,1706,75.93851077720595
213,50212,Northbound Granville St @ W 16 Ave,BUS ZN,49.257367,-123.138663,1709,73.11943150236863
210,50209,Northbound Granville St @ W King Edward Ave,BUS ZN,49.250127,-123.138924,1702,156.9934120155518
211,50210,Northbound Granville St @ Balfour Ave,BUS ZN,49.252263,-123.138834,1705,79.64496538687662
218,50217,Northbound Granville St @ W 7th Ave,BUS ZN,49.265651,-123.138349,1724,71.26847856039606
12071,61930,Westbound Powell St @ Clark Dr,BUS ZN,49.283161,-123.076463,4257,86.16817903397279
12070,61933,Eastbound Cordova Diversion @ Hawks Ave,BUS ZN,49.282052,-123.086717,3817,16.46764178067185
11477,50611,Eastbound Robson St @ Bidwell St,BUS ZN,49.29023,-123.133644,1925,57.6065349564809
11475,50536,Southbound Granville St @ Drake St,BUS ZN,49.275854,-123.128375,2150,53.39524467673367
11473,51941,Northbound Burrard St @ W 3rd Ave,BUS ZN,49.269179,-123.145428,1458,68.46760734075282
919,50911,Westbound E Broadway @ Lakewood Dr,BUS ZN,49.262356,-123.062394,4927,59.93268614398464
918,50910,Westbound E Broadway @ Kamloops St,BUS ZN,49.262127,-123.055187,5296,76.88215236074937
915,50907,Westbound E Broadway @ Renfrew St,BUS ZN,49.262097,-123.044962,5720,106.3126511981575
917,50909,Westbound E Broadway @ Penticton St,BUS ZN,49.262111,-123.051889,5401,49.04621677342927
916,50908,Westbound E Broadway @ Slocan St,BUS ZN,49.262111,-123.050045,5506,73.7969570323955
911,50904,Westbound E Broadway @ Rupert St,BUS ZN,49.262009,-123.034312,6134,87.13548470863597
910,50903,Westbound E Broadway @ Cassiar St,BUS ZN,49.262053,-123.031548,6235,80.12386801753105
912,50905,Westbound E Broadway @ Windermere St,BUS ZN,49.261989,-123.037125,6039,93.11799950497948
11813,61684,Westbound Great Northern Way @ Thornton St,BUS ZN,49.266906,-123.09471,3489,60.7639761004741
8078,58003,Waterfront Station @ Platform 1,ZN 1,49.285962,-123.111516,2796,154.38458602973878
8071,57996,29th Avenue Station @ Platform 1,ZN 1,49.24431,-123.04608,5651,61.02498943842451
8070,57995,Joyce-Collingwood Station @ Platform 1,ZN 1,49.23843,-123.031759,6209,41.323667139129334
8073,57998,Commercial-Broadway Station @ Platform 3,ZN 1,49.262311,-123.069077,4561,97.26881984754638
8072,57997,Nanaimo Station @ Platform 1,ZN 1,49.248334,-123.055868,5167,112.36066442903842
8075,58000,Stadium-Chinatown Station @ Platform 1,ZN 1,49.279271,-123.109109,2861,135.83275125681342
8074,57999,Main Street-Science World Station @ Platform 1,ZN 1,49.273172,-123.10035,3271,101.79304665277036
8077,58002,Burrard Station @ Platform 1,ZN 1,49.28558,-123.119598,2529,32.46635505672669
8076,58001,Granville Station @ Platform 1,ZN 1,49.283193,-123.115674,2661,38.26249922082581
1217,51208,Northbound Victoria Dr @ E 51 Ave,BUS ZN,49.223425,-123.065653,4732,16.784494200780465
1214,51205,Northbound Victoria Dr @ Brigadoon Ave,BUS ZN,49.21691,-123.065874,4712,56.12071551718794
1215,51206,Northbound Victoria Dr @ Upland Dr,BUS ZN,49.218398,-123.065832,4714,75.5740366336111
1111,51102,Southbound Arbutus St @ Valley Dr,BUS ZN,49.244919,-123.153466,1174,65.11450773011859
1113,51104,Southbound Arbutus St @ W 35 Ave,BUS ZN,49.239992,-123.155467,1114,57.915743141422205
1112,51103,Southbound Arbutus St @ W 32 Ave,BUS ZN,49.242695,-123.15359,1173,74.05460263091817
1115,51106,Southbound West Blvd @ W 39 Ave,BUS ZN,49.236097,-123.155609,1105,76.69904651796715
1114,51105,Southbound West Blvd @ W 37 Ave,BUS ZN,49.23803,-123.155552,1109,61.45932684049237
1117,51108,Southbound West Blvd @ W 43 Ave,BUS ZN,49.232443,-123.155746,1094,63.374064961511685
1116,51107,Southbound West Blvd @ W 41 Ave,BUS ZN,49.234303,-123.155677,1099,62.43272546844857
1219,51210,Northbound Victoria Dr @ Waverley Ave,BUS ZN,49.227465,-123.065556,4746,33.78943126464002
2004,51987,Eastbound E 49 Ave @ Elliott St,BUS ZN,49.224744,-123.054297,5287,65.34693127571477
2005,51988,Eastbound E 49 Ave @ Vivian St,BUS ZN,49.22471,-123.049761,5480,80.82100976992126
12168,60745,Dunbar Loop @ Bay 3,BUS ZN,49.234673,-123.186318,343,76.37710595106735
11262,61360,Southbound Oak St @ W 72 Ave,BUS ZN,49.205381,-123.130464,2061,60.13807367747736
11260,61040,Olympic Village Station @ Bay 1,BUS ZN,49.266245,-123.115944,2649,52.05465893707617
1801,51787,Joyce Station @ Bay 4,BUS ZN,49.237907,-123.031047,6266,66.45739182365688
199,50199,Eastbound W 41 Ave @ Granville St,BUS ZN,49.23422,-123.138484,1737,75.06778159453309
198,50198,Westbound W 41 Ave @ Granville St,BUS ZN,49.234391,-123.139167,1670,60.712165366390785
195,50195,Westbound W 41 Ave @ Oak St,BUS ZN,49.234081,-123.128633,2164,88.61927596557867
