id,unit,civic_number,street_name,name,category,latitude,longitude,junction_id,junction_dst
2537,N/A,518,HORNBY ST,Sapporo Ramen Shogun,Food & Beverage,49.28538797281386,-123.11707921196127,2624,125.92030165222687
2540,N/A,581,HORNBY ST,Copper Chimney Restaurant - Indian Grill & Bar,Food & Beverage,49.285306970690435,-123.11829597773787,2562,93.52568523214843
2542,101,580,HORNBY ST,Brascia's Clothing For Men,Service Commercial,49.28499827079988,-123.11766865614112,2562,103.06637022854594
2545,N/A,608,HORNBY ST,The Printing House Ltd,Service Commercial,49.28455298585024,-123.11834207920286,2562,74.63927198034612
2551,N/A,763,HORNBY ST,Caffe Artigiano Inc,Food & Beverage,49.28290921907629,-123.12192341063782,2427,65.9564136794547
2561,N/A,851,HORNBY ST,Aube Hair Salon,Service Commercial,49.28205532648003,-123.12321346155849,2369,109.13874432405697
2566,N/A,869,HORNBY ST,Boston Pizza,Food & Beverage,49.28205532648003,-123.12321346155849,2369,109.13874432405697
2567,N/A,905,HORNBY ST,Earls Restaurants (Hornby) Ltd,Food & Beverage,49.28157566920938,-123.12420172466877,2369,121.02464159982418
2570,N/A,947,HORNBY ST,Tim Horton's,Food & Beverage,49.28157566920938,-123.12420172466877,2369,121.02464159982418
2584,101,1001,HORNBY ST,Wall Flowers,Convenience Goods,49.280609435042415,-123.1258113527963,2290,125.18997200853984
2587,N/A,1010,HORNBY ST,Royal Bank,Service Commercial,49.27999824442466,-123.12484476801036,2290,117.7437932234332
2590,N/A,1062,HORNBY ST,Femme Free Showroom,Comparison Goods,49.27962630605496,-123.12579048867782,2240,116.1691049016365
2591,N/A,1064,HORNBY ST,Souzan Chi Tailoring & Alterations,Service Commercial,49.27962630605496,-123.12579048867782,2240,116.1691049016365
2592,N/A,1065,HORNBY ST,Wall Centre Dental,Service Commercial,49.280147180176,-123.12651056901292,2215,106.80481490229006
2599,N/A,1088,HORNBY ST,Salon Origins,Service Commercial,49.27962630605496,-123.12579048867782,2240,116.1691049016365
2600,N/A,1090,HORNBY ST,Jeweliette Jewelry,Comparison Goods,49.27962630605496,-123.12579048867782,2240,116.1691049016365
2608,N/A,1318,HORNBY ST,Barrette Salon,Service Commercial,49.27702579132671,-123.12972314778992,2099,74.35006908972704
2613,N/A,1351,HORNBY ST,Anchor Point Montessori,Service Commercial,49.277089947146365,-123.13077936544705,2033,148.31725894203814
2615,3,1353,HORNBY ST,Little Spa,Service Commercial,49.277089947146365,-123.13077936544705,2033,148.31725894203814
2618,N/A,1359,HORNBY ST,Reckless Bikes,Comparison Goods,49.277089947146365,-123.13077936544705,2033,148.31725894203814
2624,N/A,329,HOWE ST,Crest Jewellers,Comparison Goods,49.28653182643322,-123.11434780337117,2726,74.18445491135994
2629,N/A,410,HOWE ST,Bang and Olufsen,Comparison Goods,49.285665992365765,-123.11501515891854,2701,66.80870605162724
2632,N/A,455,HOWE ST,Lindt Chocolates,Convenience Goods,49.28569705296556,-123.11589626720881,2663,90.07485238925729
2633,N/A,456,HOWE ST,Cartier,Comparison Goods,49.2853928770122,-123.11542776726155,2663,61.2674912153059
2642,100,555,HOWE ST,International Arts Gallery,Comparison Goods,49.28482598898185,-123.11710457526705,2605,132.33958716573866
2643,N/A,565,HOWE ST,Feuille Luxury,Comparison Goods,49.284777312213876,-123.11717850646785,2605,118.91267512778069
2646,103,595,HOWE ST,DHL Express,Service Commercial,49.28460668985421,-123.11743646089614,2605,77.3289217204565
2651,110,840,HOWE ST,Smak - Healthy Fast Food,Food & Beverage,49.28109973566644,-123.12164510536734,2393,114.41942899400756
2653,170,840,HOWE ST,Lure Salon Inc,Service Commercial,49.28109973566644,-123.12164510536734,2393,114.41942899400756
2655,100,938,HOWE ST,BC Alliance for Arts and Culture,Service Commercial,49.2803207120504,-123.12282334663986,2393,152.3835078723088
2656,100,948,HOWE ST,The Red Room Hair World Ltd,Service Commercial,49.28019897343837,-123.12300735003949,2350,157.73990017398899
2657,100,948,HOWE ST,Vancouver Green Spa Ltd,Service Commercial,49.28019897343837,-123.12300735003949,2350,157.73990017398899
2659,N/A,988,HOWE ST,Pallet Coffee Roasters Inc,Food & Beverage,49.279979835072155,-123.12333857805436,2350,96.29778867568201
2668,N/A,1075,HOWE ST,iNail Spa,Service Commercial,49.279259416847054,-123.12552001521188,2274,93.72220044067772
2669,N/A,1085,HOWE ST,Canaan Transport,Service Commercial,49.279259416847054,-123.12552001521188,2274,93.72220044067772
2671,N/A,1095,HOWE ST,Vacant,Vacant,49.279259416847054,-123.12552001521188,2274,93.72220044067772
2673,202,1125,HOWE ST,Animism Studios Inc,Comparison Goods,49.27876548878274,-123.12626626114388,2274,100.53250876239628
2677,N/A,1197,HOWE ST,Pure Float Ltd,Service Commercial,49.2783027028566,-123.12696559832357,2213,118.74783228850173
2678,N/A,1214,HOWE ST,Steve Nash Fitness World,Entertainment and Leisure,49.27735324868997,-123.12730553863715,2213,98.19415173919184
2680,N/A,1282,HOWE ST,The Ammerose Spa & Salon,Service Commercial,49.27676891479766,-123.12818861008408,2160,79.06007994533617
2684,N/A,1291,HOWE ST,Freshii,Food & Beverage,49.27720128513876,-123.1286333145039,2140,106.22531218528901
2689,N/A,898,W PENDER ST,VanCity,Service Commercial,49.28565873619095,-123.11694626312621,2624,62.732850556465564
2692,N/A,330,ROBSON ST,Stella Nails Ltd,Service Commercial,49.27880509195092,-123.11652159554393,2659,89.48303727367953
2695,103,345,ROBSON ST,Vacant,Vacant,49.27970996870013,-123.11556576452458,2621,197.70942821853956
2696,104,345,ROBSON ST,Vacant,Vacant,49.27970996870013,-123.11556576452458,2621,197.70942821853956
2697,105,345,ROBSON ST,Robson Barbers,Service Commercial,49.27970996870013,-123.11556576452458,2621,197.70942821853956
2699,202,345,ROBSON ST,Sushi Sonoya,Food & Beverage,49.27970996870013,-123.11556576452458,2621,197.70942821853956
