id,type,street_count,vulnerability_score,longitude,latitude,transit_count,crime_count,stores_count,rtransit_count,schools_count,neighbors,crime_range,store_range,transit_range,rtransit_range,schools_range
3856,Junction,4,0.0,-123.085586,49.25472874,0,0,8,0,0,"[(3857, 80.58490101, 5873), (3855, 19.76042107, 6048), (3785, 169.8890581, 10454), (3928, 169.8357086, 10877)]",17.650421569442432,34.14048675715028,2.9315774195225854,0.019091842096382924,0.2104995590390198
3857,Junction,3,0.0,-123.0855586,49.25545339,0,0,3,0,0,"[(3859, 100.3182436, 5637), (3856, 80.58490101, 5873), (3930, 140.6349203, 10831)]",14.706275214485334,23.857283085229952,2.2954457885713486,0.019307271186124308,0.20254526627014954
3858,Junction,3,0.0,-123.0854754,49.21645958,0,0,0,0,2,"[(3950, 172.093144, 509), (3860, 95.54416624, 10110), (3762, 172.0231043, 10349)]",6.915716603929286,2.9118853280455324,1.279934810789573,0.0058093461673353495,2.1002628318553827
3859,Junction,4,0.7471720943315961,-123.0855259,49.25635552,0,1,0,0,0,"[(3861, 70.5656559, 5447), (3857, 100.3182436, 5637), (3786, 140.8061866, 10394), (3932, 140.717994, 10830)]",15.290481092447918,18.775781357336978,2.1891682527519767,0.020492621646973817,0.1934856370827083
3860,Junction,4,0.334376856889913,-123.0854528,49.2173189,0,1,0,0,0,"[(3951, 171.8126842, 508), (3862, 98.92406989, 10069), (3858, 95.54416624, 10110), (3765, 171.9039283, 10348)]",7.968348828952353,3.067942481091063,1.2721743274027408,0.005898924575395792,0.6273865897279888
3861,Junction,3,0.0,-123.0855024,49.25699009,0,1,0,0,0,"[(3859, 70.5656559, 5447), (3797, 123.7706564, 10393), (3865, 12.1260917, 10828)]",15.411585905749854,17.047601317372536,2.1315267062402663,0.021363165002976168,0.19107914918049676
3862,Junction,3,1.0946552523511934,-123.0854298,49.21820862,0,2,0,0,0,"[(3952, 171.4990155, 507), (3860, 98.92406989, 10069), (3768, 171.612485, 10347)]",9.058812510448574,3.2839131236735106,1.3174148726403434,0.006020088380380391,0.34190162765347143
3863,Junction,3,0.0,-123.0853051,49.22265064,0,0,0,0,0,"[(3958, 174.5294435, 506), (3864, 93.86125941, 9560), (3746, 201.0528512, 10343)]",6.532171808122253,4.922907328541597,1.6045501432515679,0.006901903894685714,0.14332247427574188
3864,Junction,4,0.0,-123.0852842,49.22349483,0,0,0,0,0,"[(3959, 175.2378813, 505), (3866, 106.7872102, 9490), (3863, 93.86125941, 9560), (3748, 201.0180289, 10342)]",6.8903609315548,5.589254198093766,1.7556950209366868,0.00713917168324135,0.140482102969349
3865,Junction,3,0.2148744477060795,-123.0853361,49.25698334,0,0,0,0,0,"[(3867, 98.61906934, 5258), (3861, 12.1260917, 10828), (3935, 135.0606545, 10829)]",15.09253563575686,16.55300163820295,2.101348791414561,0.021455030113364082,0.19090343256908726
3866,Junction,4,0.0,-123.0852611,49.22445529,0,0,0,0,0,"[(3960, 176.4263809, 504), (3871, 105.3985971, 9441), (3864, 106.7872102, 9490), (3750, 201.1410337, 10341)]",7.383740123605745,6.265569110782243,2.0678004424011314,0.007435153998090337,0.14186898332910816
3867,Junction,4,0.7249803359578534,-123.0853155,49.25787033,0,1,0,0,0,"[(3870, 100.5664437, 4838), (3865, 98.61906934, 5258), (3793, 142.0529589, 10391), (3936, 140.6496429, 10827)]",15.299675029417115,14.077361751511013,2.0387901534136974,0.022270736102953447,0.18370940735238092
