id,type,street_count,vulnerability_score,longitude,latitude,transit_count,crime_count,stores_count,rtransit_count,schools_count,neighbors
92,Junction,4,0.0,-123.2057733,49.27129037,0,0,0,0,0,"[(93, 87.39198979, 2079), (91, 128.5780146, 2288), (125, 221.192211, 7433), (67, 221.1287655, 7534)]"
93,Junction,3,0.0,-123.2057451,49.27207625,0,0,0,0,0,"[(94, 92.50713895, 1858), (92, 87.39198979, 2079), (68, 221.2055051, 7533)]"
94,Junction,3,0.237592554788293,-123.2057145,49.27290813,0,1,0,0,0,"[(93, 92.50713895, 1858), (126, 266.2740787, 7394), (95, 81.6970019, 7396)]"
95,Junction,3,0.0,-123.2056882,49.27364281,2,0,0,0,0,"[(96, 139.4969109, 7395), (94, 81.6970019, 7396), (70, 221.1721729, 7460)]"
96,Junction,3,0.0,-123.2056421,49.27489724,0,0,0,0,0,"[(95, 139.4969109, 7395), (71, 228.6455736, 7503)]"
97,Dead end,1,0.0,-123.2056223,49.27545431,0,0,0,0,0,
98,Junction,3,0.0,-123.2051112,49.2701446,0,0,0,0,0,"[(100, 93.04097376, 7385), (106, 82.28375537, 7435), (91, 51.45968411, 7436)]"
99,Junction,2,0.0,-123.2049546,49.2493104,0,0,0,0,0,"[(109, 167.0428861, 7432)]"
100,Psudo,2,0.0,-123.2050219,49.26932248,0,0,0,0,0,"[(121, 173.1528615, 7384), (98, 93.04097376, 7385)]"
101,Junction,3,0.0,-123.2044227,49.23627069,0,0,0,0,0,"[(104, 81.75973434, 150), (102, 46.61350157, 151), (104, 228.5554581, 152)]"
102,Junction,3,0.0,-123.2041796,49.23665858,0,0,0,0,0,"[(101, 46.61350157, 151), (129, 169.4773638, 7410), (89, 118.6445513, 7515)]"
103,Psudo,2,0.0,-123.2041207,49.22969288,0,0,0,0,0,"[(153, 513.6656102, 7164), (105, 62.35042431, 7420)]"
104,Psudo,2,0.0,-123.2041005,49.23568986,0,0,0,0,0,"[(101, 81.75973434, 150), (101, 228.5554581, 152)]"
105,Junction,3,0.0,-123.2039559,49.23024315,0,0,0,0,0,"[(112, 83.99678577, 7391), (103, 62.35042431, 7420)]"
106,Junction,3,0.0,-123.2039804,49.2701267,0,0,0,0,0,"[(123, 125.9153585, 7379), (124, 87.66875709, 7434), (98, 82.28375537, 7435)]"
107,Dead end,1,0.0,-123.2037718,49.23084108,0,0,0,0,0,
108,Junction,3,0.0,-123.2031856,49.25819533,1,0,0,0,0,"[(110, 110.6510043, 5339), (137, 220.1414522, 7334), (77, 222.4326257, 7431)]"
109,Junction,3,0.0,-123.2031318,49.24839728,0,0,0,0,0,"[(130, 130.3504474, 7284), (133, 175.8398994, 7335), (99, 167.0428861, 7432)]"
110,Junction,4,0.0,-123.2031655,49.25919008,0,0,0,0,0,"[(111, 100.5346041, 5160), (108, 110.6510043, 5339), (138, 221.2681081, 7333), (78, 221.3311389, 7430)]"
111,Junction,4,0.0,-123.2031335,49.26009417,0,0,0,0,0,"[(113, 100.5323475, 4746), (110, 100.5346041, 5160), (139, 221.383611, 7332), (79, 221.26609, 7429)]"
112,Junction,3,0.0,-123.2029829,49.22983709,0,0,0,0,0,"[(152, 354.5663393, 7160), (135, 244.6254516, 7308), (105, 83.99678577, 7391)]"
113,Junction,4,0.0,-123.2031022,49.26099824,0,0,0,0,0,"[(114, 100.5303732, 4519), (111, 100.5323475, 4746), (140, 221.3092514, 7331), (80, 221.3172342, 7428)]"
114,Junction,4,0.3116610814491425,-123.2030709,49.2619023,0,1,0,0,0,"[(115, 100.4266664, 4303), (113, 100.5303732, 4519), (141, 221.3716371, 7330), (81, 221.2697755, 7427)]"
115,Junction,4,0.3887839180742268,-123.2030388,49.26280541,0,1,0,0,0,"[(116, 102.5660858, 4116), (114, 100.4266664, 4303), (143, 221.2070926, 7329), (82, 221.1884005, 7426)]"
116,Junction,4,0.7219759974916198,-123.2030068,49.26372777,2,2,13,0,0,"[(117, 98.50156074, 3920), (115, 102.5660858, 4116), (144, 221.2525133, 7328), (83, 221.1512959, 7425)]"
117,Junction,4,0.0,-123.2029761,49.26461358,0,0,0,0,0,"[(118, 96.38564789, 3719), (116, 98.50156074, 3920), (134, 129.0310702, 7339), (84, 221.093357, 7440)]"
118,Junction,4,0.0,-123.2029469,49.26548038,0,0,0,0,0,"[(119, 189.8232781, 3250), (117, 96.38564789, 3719), (132, 116.7494246, 7338), (85, 220.9863919, 7439)]"
119,Junction,3,0.0,-123.2028834,49.26718737,0,0,0,0,1,"[(120, 119.1915821, 3066), (118, 189.8232781, 3250), (87, 221.1265679, 7438)]"
120,Junction,4,0.0,-123.202842,49.26825917,0,0,0,0,0,"[(121, 59.37107742, 2851), (119, 119.1915821, 3066), (149, 261.818175, 7336), (90, 233.4468433, 7437)]"
121,Junction,3,0.0,-123.202824,49.2687931,0,0,0,0,0,"[(122, 12.69076044, 2850), (120, 59.37107742, 2851), (100, 173.1528615, 7384)]"
122,Junction,3,0.0,-123.2028202,49.26890723,0,0,0,0,0,"[(123, 66.27128342, 2391), (121, 12.69076044, 2850), (131, 101.3701876, 7301)]"
123,Junction,3,0.7471720943315961,-123.2027981,49.26950316,0,1,0,0,0,"[(124, 67.17531609, 2390), (122, 66.27128342, 2391), (106, 125.9153585, 7379)]"
124,Junction,3,0.0,-123.2027757,49.27010724,0,0,0,0,0,"[(125, 126.1338327, 2198), (123, 67.17531609, 2390), (106, 87.66875709, 7434)]"
125,Junction,2,0.0,-123.2027336,49.2712415,0,0,0,0,0,"[(124, 126.1338327, 2198), (92, 221.192211, 7433)]"
126,Junction,3,0.0,-123.2027214,49.27156894,2,0,0,0,0,"[(131, 335.2877079, 2163), (94, 266.2740787, 7394)]"
127,Dead end,1,0.0,-123.2025581,49.27596504,0,0,0,0,0,
128,Dead end,1,0.0,-123.2022948,49.23565297,0,0,0,0,0,
129,Junction,3,0.0,-123.2020121,49.23610261,0,0,0,0,0,"[(142, 170.1434926, 7317), (102, 169.4773638, 7410)]"
130,Junction,3,0.4129496711338881,-123.2016582,49.24897086,0,1,0,0,0,"[(133, 202.416524, 7260), (109, 130.3504474, 7284)]"
131,Junction,3,0.0,-123.2014272,49.2688837,3,0,0,0,0,"[(126, 335.2877079, 2163), (149, 143.7273621, 2461), (122, 101.3701876, 7301)]"
132,Junction,3,0.3277227574378037,-123.2013426,49.26545624,0,1,0,0,0,"[(134, 98.07257625, 3717), (147, 115.8333871, 7337), (118, 116.7494246, 7338)]"
