COUNT;Geo Local Area;Geom;geo_point_2d
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.064988882435, 49.2395793016683], ""type"": ""Point""}";49.2395793016683, -123.064988882435
2;Downtown;"{""coordinates"": [-123.116923570716, 49.2826214942974], ""type"": ""Point""}";49.2826214942974, -123.116923570716
3;Strathcona;"{""coordinates"": [-123.082052351404, 49.2803247621129], ""type"": ""Point""}";49.2803247621129, -123.082052351404
2;Downtown;"{""coordinates"": [-123.111950640954, 49.2831190490397], ""type"": ""Point""}";49.2831190490397, -123.111950640954
1;Hastings-Sunrise;"{""coordinates"": [-123.030082207942, 49.2768002107925], ""type"": ""Point""}";49.2768002107925, -123.030082207942
1;West End;"{""coordinates"": [-123.129745294099, 49.2797980657964], ""type"": ""Point""}";49.2797980657964, -123.129745294099
3;Hastings-Sunrise;"{""coordinates"": [-123.043959349201, 49.2697699644162], ""type"": ""Point""}";49.2697699644162, -123.043959349201
3;Fairview;"{""coordinates"": [-123.119442826462, 49.2629712410679], ""type"": ""Point""}";49.2629712410679, -123.119442826462
3;Sunset;"{""coordinates"": [-123.101258166204, 49.2257787183938], ""type"": ""Point""}";49.2257787183938, -123.101258166204
1;Kitsilano;"{""coordinates"": [-123.146362046333, 49.2674110377968], ""type"": ""Point""}";49.2674110377968, -123.146362046333
3;Grandview-Woodland;"{""coordinates"": [-123.070115268836, 49.2646615064466], ""type"": ""Point""}";49.2646615064466, -123.070115268836
3;West End;"{""coordinates"": [-123.130950026097, 49.2810311874236], ""type"": ""Point""}";49.2810311874236, -123.130950026097
1;Victoria-Fraserview;"{""coordinates"": [-123.066193075667, 49.2239166836104], ""type"": ""Point""}";49.2239166836104, -123.066193075667
3;Strathcona;"{""coordinates"": [-123.080980096038, 49.2812621144797], ""type"": ""Point""}";49.2812621144797, -123.080980096038
1;Downtown;"{""coordinates"": [-123.128332411733, 49.2761224751169], ""type"": ""Point""}";49.2761224751169, -123.128332411733
6;Strathcona;"{""coordinates"": [-123.09447305206, 49.2815332757978], ""type"": ""Point""}";49.2815332757978, -123.09447305206
1;Renfrew-Collingwood;"{""coordinates"": [-123.034248382829, 49.2469365300936], ""type"": ""Point""}";49.2469365300936, -123.034248382829
2;Strathcona;"{""coordinates"": [-123.088228453516, 49.2808106555665], ""type"": ""Point""}";49.2808106555665, -123.088228453516
4;Kensington-Cedar Cottage;"{""coordinates"": [-123.064984012901, 49.2385169482197], ""type"": ""Point""}";49.2385169482197, -123.064984012901
2;Kitsilano;"{""coordinates"": [-123.185358378775, 49.2640700723361], ""type"": ""Point""}";49.2640700723361, -123.185358378775
2;Downtown;"{""coordinates"": [-123.12283700687, 49.2812763281821], ""type"": ""Point""}";49.2812763281821, -123.12283700687
1;West End;"{""coordinates"": [-123.135332313932, 49.2931507375859], ""type"": ""Point""}";49.2931507375859, -123.135332313932
5;Grandview-Woodland;"{""coordinates"": [-123.069983098046, 49.2722615836291], ""type"": ""Point""}";49.2722615836291, -123.069983098046
5;Grandview-Woodland;"{""coordinates"": [-123.069981851861, 49.2723524358138], ""type"": ""Point""}";49.2723524358138, -123.069981851861
1;Kerrisdale;"{""coordinates"": [-123.153116082416, 49.2342295374826], ""type"": ""Point""}";49.2342295374826, -123.153116082416
5;Downtown;"{""coordinates"": [-123.121708351421, 49.2797240908348], ""type"": ""Point""}";49.2797240908348, -123.121708351421
3;Strathcona;"{""coordinates"": [-123.099261286518, 49.2801583426098], ""type"": ""Point""}";49.2801583426098, -123.099261286518
3;Hastings-Sunrise;"{""coordinates"": [-123.049750524397, 49.2814270854333], ""type"": ""Point""}";49.2814270854333, -123.049750524397
14;Downtown;"{""coordinates"": [-123.103908541835, 49.2831186808142], ""type"": ""Point""}";49.2831186808142, -123.103908541835
2;Downtown;"{""coordinates"": [-123.1057354377, 49.281046144916], ""type"": ""Point""}";49.281046144916, -123.1057354377
1;Grandview-Woodland;"{""coordinates"": [-123.058118117824, 49.2763049041214], ""type"": ""Point""}";49.2763049041214, -123.058118117824
5;Kensington-Cedar Cottage;"{""coordinates"": [-123.070908562169, 49.2620083812989], ""type"": ""Point""}";49.2620083812989, -123.070908562169
1;Kitsilano;"{""coordinates"": [-123.176174698847, 49.2644686258161], ""type"": ""Point""}";49.2644686258161, -123.176174698847
1;Renfrew-Collingwood;"{""coordinates"": [-123.030055667342, 49.239649595058], ""type"": ""Point""}";49.239649595058, -123.030055667342
2;Renfrew-Collingwood;"{""coordinates"": [-123.024502566571, 49.2627900745818], ""type"": ""Point""}";49.2627900745818, -123.024502566571
1;Marpole;"{""coordinates"": [-123.141068144946, 49.2170326950883], ""type"": ""Point""}";49.2170326950883, -123.141068144946
2;Mount Pleasant;"{""coordinates"": [-123.098638197895, 49.2614033110779], ""type"": ""Point""}";49.2614033110779, -123.098638197895
7;Downtown;"{""coordinates"": [-123.107872780459, 49.2814125579127], ""type"": ""Point""}";49.2814125579127, -123.107872780459
5;Grandview-Woodland;"{""coordinates"": [-123.07074181359, 49.2815502501307], ""type"": ""Point""}";49.2815502501307, -123.07074181359
1;Renfrew-Collingwood;"{""coordinates"": [-123.024061438479, 49.2353314645331], ""type"": ""Point""}";49.2353314645331, -123.024061438479
11;Strathcona;"{""coordinates"": [-123.078245773736, 49.2816301110759], ""type"": ""Point""}";49.2816301110759, -123.078245773736
1;Grandview-Woodland;"{""coordinates"": [-123.070377709697, 49.2629476884897], ""type"": ""Point""}";49.2629476884897, -123.070377709697
2;Mount Pleasant;"{""coordinates"": [-123.082510168519, 49.2621049421921], ""type"": ""Point""}";49.2621049421921, -123.082510168519
8;West Point Grey;"{""coordinates"": [-123.208504712024, 49.2635337253973], ""type"": ""Point""}";49.2635337253973, -123.208504712024
9;Mount Pleasant;"{""coordinates"": [-123.090815593502, 49.2568142864395], ""type"": ""Point""}";49.2568142864395, -123.090815593502
1;Strathcona;"{""coordinates"": [-123.087076888571, 49.2767901432732], ""type"": ""Point""}";49.2767901432732, -123.087076888571
13;Mount Pleasant;"{""coordinates"": [-123.101445489038, 49.2631105365325], ""type"": ""Point""}";49.2631105365325, -123.101445489038
2;Mount Pleasant;"{""coordinates"": [-123.094057442069, 49.2631961068206], ""type"": ""Point""}";49.2631961068206, -123.094057442069
3;Strathcona;"{""coordinates"": [-123.088957082738, 49.2832531059034], ""type"": ""Point""}";49.2832531059034, -123.088957082738
2;Sunset;"{""coordinates"": [-123.077691152018, 49.2250362158244], ""type"": ""Point""}";49.2250362158244, -123.077691152018
6;Riley Park;"{""coordinates"": [-123.100883834544, 49.255194674407], ""type"": ""Point""}";49.255194674407, -123.100883834544
1;Kitsilano;"{""coordinates"": [-123.170212015819, 49.2714428190766], ""type"": ""Point""}";49.2714428190766, -123.170212015819
5;Fairview;"{""coordinates"": [-123.141737144993, 49.2676215165475], ""type"": ""Point""}";49.2676215165475, -123.141737144993
3;Hastings-Sunrise;"{""coordinates"": [-123.05523403597, 49.2814182708039], ""type"": ""Point""}";49.2814182708039, -123.05523403597
2;Renfrew-Collingwood;"{""coordinates"": [-123.038623150354, 49.2356562901559], ""type"": ""Point""}";49.2356562901559, -123.038623150354
5;Fairview;"{""coordinates"": [-123.120478478638, 49.263635136479], ""type"": ""Point""}";49.263635136479, -123.120478478638
7;Strathcona;"{""coordinates"": [-123.078979539733, 49.2797380158451], ""type"": ""Point""}";49.2797380158451, -123.078979539733
4;Kensington-Cedar Cottage;"{""coordinates"": [-123.069490908335, 49.2571944480356], ""type"": ""Point""}";49.2571944480356, -123.069490908335
1;Grandview-Woodland;"{""coordinates"": [-123.0569192291, 49.2814223913415], ""type"": ""Point""}";49.2814223913415, -123.0569192291
8;Dunbar-Southlands;"{""coordinates"": [-123.189897252667, 49.2576540964722], ""type"": ""Point""}";49.2576540964722, -123.189897252667
1;Fairview;"{""coordinates"": [-123.133300967199, 49.263195752084], ""type"": ""Point""}";49.263195752084, -123.133300967199
2;Grandview-Woodland;"{""coordinates"": [-123.069154082262, 49.2751517781951], ""type"": ""Point""}";49.2751517781951, -123.069154082262
2;Dunbar-Southlands;"{""coordinates"": [-123.184735380249, 49.2561672886151], ""type"": ""Point""}";49.2561672886151, -123.184735380249
2;West End;"{""coordinates"": [-123.132624938645, 49.2808956087941], ""type"": ""Point""}";49.2808956087941, -123.132624938645
2;West End;"{""coordinates"": [-123.132782743596, 49.2809324877069], ""type"": ""Point""}";49.2809324877069, -123.132782743596
