Geom,Geo Local Area,id,address,category,name,latitude,longitude,junction_id,junction_dst
"{""coordinates"": [-123.08031429999998, 49.27859426906773], ""type"": ""Point""}",Strathcona,94,1130 Keefer St,Public School,Admiral Seymour Elementary,49.2785942691,-123.0803143,4142,79.17986649461447
"{""coordinates"": [-123.07137879542154, 49.27451200859733], ""type"": ""Point""}",Grandview-Woodland,95,1110 Cotton Drive,Public School,Britannia Community Elementary,49.2745120086,-123.071378795,4491,62.7841550922532
"{""coordinates"": [-123.03054968939806, 49.2140784317513], ""type"": ""Point""}",Killarney,96,7835 Champlain Crescent,Public School,Champlain Heights Annex,49.2140784318,-123.030549689,6215,167.5973615976899
"{""coordinates"": [-123.03054968939806, 49.2140784317513], ""type"": ""Point""}",Killarney,97,7835 Champlain Crescent,StrongStart BC,Champlain Heights Annex StrongStart Cntr,49.2140784318,-123.030549689,6215,167.5973615976899
"{""coordinates"": [-123.09798144, 49.2507533360676], ""type"": ""Point""}",Riley Park,98,315 E 23rd Av,Public School,David Livingstone Elementary,49.2507533361,-123.09798144,3341,62.32772740838319
"{""coordinates"": [-123.04440254, 49.22957875906749], ""type"": ""Point""}",Killarney,99,2900 E 44th Av,Public School,Dr George M Weir Elementary,49.2295787591,-123.04440254,5682,80.26975474825115
"{""coordinates"": [-123.11722884, 49.25290710906762], ""type"": ""Point""}",South Cambie,100,500 W 20th Av,Public School,Edith Cavell Elementary,49.2529071091,-123.11722884,2564,89.21278664582789
"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}",South Cambie,101,5025 Willow St,Public School,G F Strong School Program,49.2396309611,-123.12579096,2360,157.47780391469107
"{""coordinates"": [-123.10596494, 49.247228706067595], ""type"": ""Point""}",Riley Park,102,4251 Ontario St,Public School,General Wolfe Elementary,49.2472287061,-123.10596494,3019,68.00247592501651
"{""coordinates"": [-123.05057740868249, 49.28261095988815], ""type"": ""Point""}",Hastings-Sunrise,103,2625 Franklin St,Public School,Hastings Community Elementary,49.2826109599,-123.050577409,5540,100.0204988132907
