stop_code,stop_id,stop_name,zone_id,latitude,longitude,junction_id,junction_dst
50234,236,Southbound Main St @ Switchmen St,BUS ZN,49.270621,-123.100821,3245,21.899433987343986
50228,230,Eastbound E Cordova St @ Main St,BUS ZN,49.282229,-123.099988,3298,29.335660368978143
50229,231,Southbound Main St @ E Hastings St,BUS ZN,49.28081,-123.099812,3289,48.86478972181527
50230,232,Southbound Main St @ Keefer St,BUS ZN,49.279029,-123.099896,3285,46.97280080491882
51525,1537,Eastbound E King Edward Ave @ Knight St,BUS ZN,49.248429,-123.075675,4276,34.092040611927956
50931,939,Eastbound W Hastings St @ Homer St,BUS ZN,49.283054,-123.110546,2823,47.31424754666842
50930,938,Eastbound W Hastings St @ Seymour St,BUS ZN,49.284334,-123.112551,2765,42.63760633459267
50924,932,Westbound W Broadway @ Ash St,BUS ZN,49.26336,-123.118098,2593,45.81537935799637
51967,10745,Langara-49th Station @ Bay 3,BUS ZN,49.226003,-123.11584,2627,47.71249926509648
50926,934,Westbound W Broadway @ Willow St,BUS ZN,49.263433,-123.122318,2422,38.981845452363345
51740,1754,Northbound Boundary Rd @ Lougheed Hwy,BUS ZN,49.26604,-123.023373,6522,57.432588406196736
50790,797,Southbound Fraser St @ E 41 Ave,BUS ZN,49.232478,-123.090705,3668,46.869697874861764
50789,796,Southbound Fraser St @ E 39 Ave,BUS ZN,49.234521,-123.090651,3669,31.414602848736195
50788,795,Southbound Fraser St @ E 37 Ave,BUS ZN,49.236049,-123.090613,3670,41.41939123710645
50787,794,Southbound Fraser St @ E 35 Ave,BUS ZN,49.238045,-123.090514,3673,30.26300035625476
50786,793,Southbound Fraser St @ E 33 Ave,BUS ZN,49.239976,-123.090476,3674,37.587079677746594
58954,792,Southbound Fraser St @ E 31 Ave,BUS ZN,49.242261,-123.090417,3677,34.21720218436432
50784,791,Southbound Fraser St @ E 29 Ave,BUS ZN,49.244247,-123.090388,3679,35.79537182029678
50783,790,Southbound Fraser St @ E 27 Ave,BUS ZN,49.246305,-123.090308,3683,33.418751812715556
50792,799,Southbound Fraser St @ E 45 Ave,BUS ZN,49.228897,-123.090762,3665,32.25880478966208
50791,798,Southbound Fraser St @ E 43 Ave,BUS ZN,49.230719,-123.090713,3667,30.82332228447938
51130,1139,Eastbound E 41 Ave @ School Ave,BUS ZN,49.233197,-123.036985,5993,35.10835531479744
51129,1138,Eastbound E 41 Ave @ Kerr St,BUS ZN,49.232892,-123.039828,5881,28.84322822402389
51124,1133,Eastbound E 41 Ave @ Clarendon St,BUS ZN,49.232754,-123.054813,5266,41.84271984638626
51123,1132,Eastbound E 41 Ave @ Nanaimo St,BUS ZN,49.232788,-123.058373,5068,36.312694284977326
51122,1131,Eastbound E 41 Ave @ Gladstone St,BUS ZN,49.232817,-123.06167,4902,32.808603321927144
51121,1130,Eastbound E 41 Ave @ Victoria Dr,BUS ZN,49.232713,-123.06505,4767,34.40526053005585
51128,1137,Eastbound E 41 Ave @ Rupert St,BUS ZN,49.23288,-123.042556,5769,38.891377196669985
51127,1136,Eastbound E 41 Ave @ Killarney St,BUS ZN,49.232892,-123.045427,5660,35.65934397331751
51126,1135,Eastbound E 41 Ave @ Earles St,BUS ZN,49.232715,-123.04831,5564,33.41025417713855
51125,1134,Eastbound E 41 Ave @ Wales St,BUS ZN,49.232722,-123.051214,5453,32.907009781578196
