Unit,id,civic_number,street_name,name,category,latitude,longitude,junction_id,junction_dst
105,347,1755,W BROADWAY,Frontier Computer Sales,Comparison Goods,49.26399304628837,-123.14487613480941,1450,70.38501779862855
N/A,349,1759,W BROADWAY,Denny's / Bar One,Food & Beverage,49.26399304628837,-123.14487613480941,1450,70.38501779862855
N/A,353,1788,W BROADWAY,Osaka Restaurant,Food & Beverage,49.26339957802147,-123.14530269598353,1450,46.863210365875574
N/A,354,1795,W BROADWAY,Broadway Esso,Automotive Goods & Services,49.26400295713706,-123.14548968755187,1450,37.550876657330065
N/A,356,1804,W BROADWAY,Burrard Laptops,Comparison Goods,49.26341108919732,-123.14601193999665,1450,38.39855704124083
N/A,357,1808,W BROADWAY,Royal Vape,Convenience Goods,49.26341108919732,-123.14601193999665,1450,38.39855704124083
N/A,361,1822,W BROADWAY,Viet Flavour,Food & Beverage,49.26341775032223,-123.1464311622349,1450,59.50979674146231
N/A,365,1838,W BROADWAY,Bengamin Moore,Comparison Goods,49.26342107266395,-123.1466407768086,1450,72.5909696036637
N/A,377,1903,W BROADWAY,Canadian Flooring,Comparison Goods,49.264046128341754,-123.14836123231007,1363,37.85824838523733
N/A,379,1900,W BROADWAY,Memory Express,Comparison Goods,49.263452194321346,-123.1485931054804,1363,47.691289530187916
101,381,1926,W BROADWAY,Strong Computer Inc,Comparison Goods,49.263455711087545,-123.1488023690714,1363,59.45046444165101
N/A,383,1927,W BROADWAY,Kits Lighting Company,Comparison Goods,49.264052701093505,-123.14878029367382,1363,59.12749574177233
N/A,384,1932,W BROADWAY,J.DO,Service Commercial,49.263458941633786,-123.14901147239344,1363,72.49995999636961
N/A,390,1952,W BROADWAY,West Coast Bird Studio,Comparison Goods,49.26346559185489,-123.14943001505925,1279,86.24847679592649
101,397,2025,W BROADWAY,Pharmasave,Convenience Goods,49.26409432914523,-123.1512082012548,1279,61.06114260509338
